Index,Head Lines
3rd Assam madrassa linked to al-Qaida demolished,https://timesofindia.indiatimes.com/city/guwahati/3rd-assam-madrassa-linked-to-al-qaida-bulldozed-after-arrest-of-teacher/articleshow/93897900.cms, <---------- KEYWORD FOUND!
Why Pak went from severe drought to devastating floods,https://timesofindia.indiatimes.com/world/deadly-floods-devastate-an-already-fragile-pakistan/articleshow/93871902.cms, <---------- KEYWORD FOUND!
Super Typhoon threatening Japan is 2022’s strongest storm,https://timesofindia.indiatimes.com/world/rest-of-world/super-typhoon-threatening-japan-is-2022s-strongest-storm/articleshow/93900859.cms, <---------- KEYWORD FOUND!
KCR meets Nitish Kumar & Tejashwi Yadav in Patna,https://timesofindia.indiatimes.com/india/telangana-cm-kcr-meets-nitish-kumar-tejashwi-yadav-in-patna/articleshow/93901714.cms, <---------- KEYWORD FOUND!
Nadal overcomes scare to reach US Open second round,https://timesofindia.indiatimes.com/sports/tennis/us-open/rafael-nadal-overcomes-scare-to-reach-us-open-second-round/articleshow/93893958.cms, <---------- KEYWORD FOUND!
"Police and people make Kolkata ‘safest’, say women residents",https://timesofindia.indiatimes.com/city/kolkata/police-and-people-make-kolkata-safest-say-women-residents/articleshow/93896078.cms, <---------- KEYWORD FOUND!
"In Kerala, patient dies as ambulance door jams",https://timesofindia.indiatimes.com/city/kozhikode/kozhikode-accident-victim-trapped-in-ambulance-dies/articleshow/93891461.cms, <---------- KEYWORD FOUND!
Ulfa(I) executes cadre who tried to escape thrice,https://timesofindia.indiatimes.com/city/guwahati/ulfai-executes-cadre-who-tried-to-escape-thrice-on-charges-of-spying/articleshow/93900891.cms, <---------- KEYWORD FOUND!
Elevate your leadership career with this IIMC program,https://timesofindia.indiatimes.com/spotlight/elevate-your-executive-leadership-career-with-batch-15-of-iim-calcuttas-executive-programme-in-leadership-management/articleshow/93757467.cms, <---------- KEYWORD FOUND!
Big pay day offers on top appliances of August | Shop Now,https://timesofindia.indiatimes.com/amazon-bestsellers, <---------- KEYWORD FOUND!
Know all about ET Inspiring Indian (West) 2022,https://photogallery.indiatimes.com/awards/awards-and-honours/et-inspiring-indian-west-india-2022-honouring-excellence/articleshow/93859852.cms?val=3728&wesi=1, <---------- KEYWORD FOUND!
Saudi Riyals worth Rs 41L stuffed in 'lehenga' buttons,https://timesofindia.indiatimes.com/city/delhi/delhi-passenger-held-with-rs-41-lakh-foreign-currency-concealed-in-lehenga-buttons-at-igi-airport/articleshow/93897432.cms, <---------- KEYWORD FOUND!
Video calling raids lead Mumbai cops to porn racket,https://timesofindia.indiatimes.com/city/mumbai/mumbai-video-phone-calling-raids-lead-cops-to-porn-racket/articleshow/93892145.cms, <---------- KEYWORD FOUND!
Is this 'Akhand USSR' supporter really Putin's brain?,https://timesofindia.indiatimes.com/world/is-this-man-really-putins-brain/articleshow/93853597.cms, <---------- KEYWORD FOUND!
Cops invoke Nizam era money lender's Act against loan apps,https://timesofindia.indiatimes.com/city/hyderabad/telangana-cops-invoke-nizam-era-money-lenders-act-against-loan-apps/articleshow/93890589.cms, <---------- KEYWORD FOUND!
90 girls raped every day in India last year: NCRB,https://timesofindia.indiatimes.com/city/bengaluru/90-girls-raped-every-day-in-india-last-year-karnataka-with-2093-cases-stands-5th/articleshow/93890584.cms, <---------- KEYWORD FOUND!
Delhi: Around 300 liquor shops set to open in Sept,https://timesofindia.indiatimes.com/city/delhi/around-300-liquor-shops-set-to-open-in-first-week-of-sept/articleshow/93889385.cms, <---------- KEYWORD FOUND!
Assam: 3rd Madrassa with links to Al-Qaeda demolished,https://timesofindia.indiatimes.com/videos/toi-original/assam-3rd-madrassa-with-links-to-al-qaeda-demolished-by-authorities-37-arrested/videoshow/93901815.cms, <---------- KEYWORD FOUND!
'Plastic surgery': Ajay Devgn's daughter Nysa trolled,https://timesofindia.indiatimes.com/videos/entertainment/hindi/plastic-surgery-ajay-devgns-daughter-nysa-devgan-posts-throwback-picture-from-her-greece-holiday-gets-brutally-trolled/videoshow/93900897.cms, <---------- KEYWORD FOUND!
